"Day","PP","G","R","TA","B5_A","B5_C","B5_E","B5_N","B5_O","T_D","SA_B","SA_E","N_MD","N_PD","N_TD","N_P","N_E","N_F","RW","SA","SP","I","tOut","fOut","F_Happy","F_Neutral","F_Negarive"
"1",-0.0503125960192001,"1","4",38,35,41,24,21,48,15459,33,36,11,1,4,6,8,2,57.75,0,0.78,25.36,567.5,0.465748107898312,0.117469324232924,0.182703277736444,0.696778517157887
"2",0.412545183614269,"1","4",38,35,41,24,21,48,17237,35,34,10,3,4,7,8,1,39.04,0,0,31.08,438.2,1.04426524337182,0.152291832697888,0.269330267083208,0.576766381837681
"3",0.0388077300907801,"1","4",38,35,41,24,21,48,11956,26,24,1,1,1,10,2,1,42.65,0,0,41.46,356.333333333333,0.903312144529943,0.393260652285164,0.312037291129617,0.289634347718531
"4",-0.0118731946700503,"1","4",38,35,41,24,21,48,10478,24,27,7,3,4,8,7,5,74.16,0,0,0,760,0.343577018514984,0.136750749533273,0.665561148929741,0.197685229406642
"1",-0.0771382728253398,"2","2",35,38,43,25,19,41,13758,52,52,18,15,18,12,18,17,100,0,0,0,0,0,0.00156154990992801,0.010501489888766,0.987854102121764
"2",-0.11946245801903,"2","2",35,38,43,25,19,41,13434,53,40,19,18,20,19,20,18,100,0,0,0,0,0,0.000688916465183815,0.00745682521295206,0.991275659401271
"3",-0.0541626572635696,"2","2",35,38,43,25,19,41,12051,25,23,6,10,3,18,5,3,93.61,0,2.07,0,521,0.298730395817774,0.00410586983671476,0.00555981457263494,0.989415060311802
"4",0.0343484692276306,"2","2",35,38,43,25,19,41,12786,25,26,10,7,6,20,5,3,92.9,0,3.54,0,455,0.281557954012201,0.00102949245714784,0.00650166782130594,0.992399336818007
"1",0.13295093714836,"1","2",33,44,36,36,13,40,24275,25,33,14,5,12,12,15,5,26.58,0,6.6,0,1341.83333333333,0.889804325437693,0.00466171475554568,0.660295989968202,0.32530166495004
"2",0.270887738479541,"1","2",33,44,36,36,13,40,16223,35,32,17,12,15,17,15,5,66.91,0,9.34,0,1061.33333333333,0.665721506503113,0.00544826423367809,0.844012001305469,0.149909110731403
