"Timestamp","Application"
2019-05-25 09:35:49,"MonitorTool"
2019-05-25 09:35:52,"devenv"
2019-05-25 09:35:55,"explorer"
2019-05-25 09:35:56,"ShellExperienceHost"
2019-05-25 09:36:00,"explorer"
2019-05-25 09:53:09,"chrome"
2019-05-25 10:04:30,"explorer"
2019-05-25 10:04:33,"chrome"
2019-05-25 10:04:37,"Idle"
2019-05-25 10:04:38,"explorer"
2019-05-25 10:04:45,"chrome"
2019-05-25 10:29:38,"explorer"
2019-05-25 10:29:48,"chrome"
2019-05-25 10:30:47,"SearchUI"
2019-05-25 10:31:05,"explorer"
2019-05-25 10:31:19,"chrome"
2019-05-25 10:31:41,"explorer"
2019-05-25 10:31:56,"SearchUI"
2019-05-25 10:32:02,"explorer"
2019-05-25 10:32:05,"MendeleyDesktop"
2019-05-25 10:33:03,"explorer"
2019-05-25 10:33:05,"chrome"
2019-05-25 10:33:20,"POWERPNT"
2019-05-25 10:33:28,"chrome"
2019-05-25 10:33:32,"explorer"
2019-05-25 10:33:43,"WINWORD"
2019-05-25 10:33:47,"explorer"
2019-05-25 10:34:05,"SearchUI"
2019-05-25 10:34:09,"WINWORD"
2019-05-25 10:35:17,"explorer"
2019-05-25 10:35:21,"WINWORD"
2019-05-25 10:35:27,"explorer"
2019-05-25 10:35:32,"WINWORD"
2019-05-25 10:35:45,"explorer"
2019-05-25 10:35:46,"WINWORD"
2019-05-25 10:36:20,"explorer"
2019-05-25 10:36:21,"WINWORD"
2019-05-25 10:39:59,"Idle"
2019-05-25 10:40:00,"chrome"
2019-05-25 10:40:31,"explorer"
2019-05-25 10:40:42,"chrome"
2019-05-25 10:41:00,"explorer"
2019-05-25 10:41:18,"chrome"
2019-05-25 10:41:22,"explorer"
2019-05-25 10:41:27,"WINWORD"
2019-05-25 10:41:40,"explorer"
2019-05-25 10:45:30,"WINWORD"
2019-05-25 10:46:07,"MendeleyDesktop"
2019-05-25 10:47:35,"WINWORD"
2019-05-25 10:47:39,"MendeleyDesktop"
2019-05-25 10:48:23,"WINWORD"
2019-05-25 10:49:53,"explorer"
2019-05-25 10:50:02,"WINWORD"
2019-05-25 10:50:50,"explorer"
2019-05-25 10:50:51,"WINWORD"
2019-05-25 10:51:00,"chrome"
2019-05-25 10:51:59,"explorer"
2019-05-25 10:52:18,"chrome"
2019-05-25 10:52:30,"explorer"
2019-05-25 10:52:44,"WINWORD"
2019-05-25 10:54:55,"explorer"
2019-05-25 10:55:05,"WINWORD"
2019-05-25 11:07:08,"explorer"
2019-05-25 11:07:14,"WINWORD"
2019-05-25 11:07:57,"MendeleyDesktop"
2019-05-25 11:07:58,"explorer"
2019-05-25 11:08:03,"WINWORD"
2019-05-25 11:08:13,"MendeleyDesktop"
2019-05-25 11:08:14,"WINWORD"
2019-05-25 11:11:29,"MendeleyDesktop"
2019-05-25 11:11:46,"ApplicationFrameHost"
2019-05-25 11:12:08,"MendeleyDesktop"
2019-05-25 11:13:22,"chrome"
2019-05-25 11:13:44,"MendeleyDesktop"
2019-05-25 11:13:48,"Idle"
2019-05-25 11:13:50,"chrome"
2019-05-25 11:14:09,"Idle"
2019-05-25 11:14:10,"MendeleyDesktop"
2019-05-25 11:14:17,"ApplicationFrameHost"
2019-05-25 11:46:44,"WINWORD"
2019-05-25 11:46:46,"explorer"
2019-05-25 11:46:48,"WINWORD"
2019-05-25 11:47:19,"chrome"
2019-05-25 11:47:20,"WINWORD"
2019-05-25 11:47:37,"ApplicationFrameHost"
2019-05-25 11:48:31,"explorer"
2019-05-25 11:48:32,"WINWORD"
2019-05-25 11:51:33,"Idle"
2019-05-25 11:51:34,"explorer"
2019-05-25 11:51:49,"POWERPNT"
2019-05-25 11:53:31,"explorer"
2019-05-25 11:53:35,"WINWORD"
2019-05-25 11:53:57,"explorer"
2019-05-25 11:54:01,"WINWORD"
2019-05-25 11:56:35,"POWERPNT"
2019-05-25 11:56:42,"explorer"
2019-05-25 11:56:43,"S-Interface"
2019-05-25 11:56:46,"explorer"
2019-05-25 11:56:47,"S-Interface"
2019-05-25 11:56:48,"POWERPNT"
2019-05-25 11:56:50,"explorer"
2019-05-25 11:56:57,"WINWORD"
2019-05-25 12:03:29,"explorer"
2019-05-25 12:03:32,"WINWORD"
2019-05-25 12:07:28,"explorer"
2019-05-25 12:07:29,"WINWORD"
2019-05-25 12:11:56,"LockApp"
2019-05-25 12:20:12,"Idle"
2019-05-25 12:21:06,"WINWORD"
2019-05-25 12:21:46,"explorer"
2019-05-25 12:21:50,"WINWORD"
2019-05-25 12:37:55,"explorer"
2019-05-25 12:37:56,"ShellExperienceHost"
2019-05-25 12:38:00,"explorer"
2019-05-25 12:39:25,"WINWORD"
2019-05-25 12:39:27,"explorer"
2019-05-25 12:39:36,"WINWORD"
2019-05-25 12:39:40,"explorer"
2019-05-25 12:39:41,"WINWORD"
2019-05-25 12:39:46,"explorer"
2019-05-25 12:39:48,"WINWORD"
2019-05-25 12:44:22,"explorer"
2019-05-25 12:44:24,"WINWORD"
2019-05-25 12:46:42,"Idle"
