"HR","Timestamp"
82,2019-02-28 13:16:45
78.5,2019-02-28 13:16:46
77,2019-02-28 13:16:47
103.25,2019-02-28 13:16:48
92.4,2019-02-28 13:16:49
88.83,2019-02-28 13:16:50
86.43,2019-02-28 13:16:51
84.5,2019-02-28 13:16:52
83,2019-02-28 13:16:53
81.7,2019-02-28 13:16:54
80.45,2019-02-28 13:16:55
79.5,2019-02-28 13:16:56
78.69,2019-02-28 13:16:57
78,2019-02-28 13:16:58
77.2,2019-02-28 13:16:59
76.38,2019-02-28 13:17:00
75.71,2019-02-28 13:17:01
76,2019-02-28 13:17:02
76.11,2019-02-28 13:17:03
77.85,2019-02-28 13:17:04
78.48,2019-02-28 13:17:05
78.77,2019-02-28 13:17:06
79,2019-02-28 13:17:07
79.25,2019-02-28 13:17:08
79.48,2019-02-28 13:17:09
79.69,2019-02-28 13:17:10
79.89,2019-02-28 13:17:11
80.21,2019-02-28 13:17:12
80.59,2019-02-28 13:17:13
80.97,2019-02-28 13:17:14
81.29,2019-02-28 13:17:15
81.66,2019-02-28 13:17:16
81.58,2019-02-28 13:17:17
81.5,2019-02-28 13:17:18
81.11,2019-02-28 13:17:19
80.61,2019-02-28 13:17:20
80.27,2019-02-28 13:17:21
80.03,2019-02-28 13:17:22
79.69,2019-02-28 13:17:23
79.35,2019-02-28 13:17:24
79.22,2019-02-28 13:17:25
79.1,2019-02-28 13:17:26
78.77,2019-02-28 13:17:27
78.41,2019-02-28 13:17:28
78,2019-02-28 13:17:29
77.85,2019-02-28 13:17:30
77.7,2019-02-28 13:17:31
77.56,2019-02-28 13:17:32
77.45,2019-02-28 13:17:33
77.3,2019-02-28 13:17:34
77.2,2019-02-28 13:17:35
77.13,2019-02-28 13:17:36
76.98,2019-02-28 13:17:37
76.85,2019-02-28 13:17:38
76.73,2019-02-28 13:17:39
76.43,2019-02-28 13:17:40
76.14,2019-02-28 13:17:41
75.86,2019-02-28 13:17:42
75.59,2019-02-28 13:17:43
