Frame#,Time,Timestamp,Perspiration
0,0,Mon Feb 18 12:22:05.668 2019,0.003979462
1,0.0538575,Mon Feb 18 12:22:05.721 2019,0.003759185
2,0.0897602,Mon Feb 18 12:22:05.757 2019,0.003069748
3,0.1266611,Mon Feb 18 12:22:05.794 2019,0.003280513
4,0.1745335,Mon Feb 18 12:22:05.842 2019,0.002673932
5,0.2303832,Mon Feb 18 12:22:05.898 2019,0.002637798
6,0.2593065,Mon Feb 18 12:22:05.927 2019,0.002508075
7,0.3121651,Mon Feb 18 12:22:05.980 2019,0.00226456
8,0.341088,Mon Feb 18 12:22:06.009 2019,0.002389565
9,0.4049185,Mon Feb 18 12:22:06.072 2019,0.002593906
10,0.4348377,Mon Feb 18 12:22:06.102 2019,0.002628591
11,0.5006615,Mon Feb 18 12:22:06.168 2019,0.002574984
12,0.5744648,Mon Feb 18 12:22:06.242 2019,0.002643451
13,0.6622291,Mon Feb 18 12:22:06.330 2019,0.003497159
14,0.8118292,Mon Feb 18 12:22:06.479 2019,0.003576441
15,0.8985987,Mon Feb 18 12:22:06.566 2019,0.00458343
16,1.007307,Mon Feb 18 12:22:06.675 2019,0.003471861
17,1.093078,Mon Feb 18 12:22:06.761 2019,0.00294119
18,1.18683,Mon Feb 18 12:22:06.854 2019,0.003056907
19,1.318477,Mon Feb 18 12:22:06.986 2019,0.002128443
20,1.388289,Mon Feb 18 12:22:07.056 2019,0.002523131
21,1.468077,Mon Feb 18 12:22:07.136 2019,0.002187824
22,1.556839,Mon Feb 18 12:22:07.224 2019,0.002593085
23,1.640615,Mon Feb 18 12:22:07.308 2019,0.003586234
24,1.709432,Mon Feb 18 12:22:07.377 2019,0.004246219
25,1.772264,Mon Feb 18 12:22:07.440 2019,0.003829174
26,1.840082,Mon Feb 18 12:22:07.508 2019,0.005400002
27,1.902914,Mon Feb 18 12:22:07.570 2019,0.003983753
28,1.97173,Mon Feb 18 12:22:07.639 2019,0.005996177
29,2.032568,Mon Feb 18 12:22:07.700 2019,0.00597972
30,2.104376,Mon Feb 18 12:22:07.772 2019,0.006732749
31,2.171197,Mon Feb 18 12:22:07.839 2019,0.006233913
32,2.233032,Mon Feb 18 12:22:07.901 2019,0.008366434
33,2.30484,Mon Feb 18 12:22:07.972 2019,0.009374557
34,2.371662,Mon Feb 18 12:22:08.039 2019,0.009846097
35,2.438483,Mon Feb 18 12:22:08.106 2019,0.009170712
36,2.506301,Mon Feb 18 12:22:08.174 2019,0.009094701
37,2.561155,Mon Feb 18 12:22:08.229 2019,0.01022464
38,2.639944,Mon Feb 18 12:22:08.308 2019,0.008046043
39,2.72073,Mon Feb 18 12:22:08.388 2019,0.005901468
40,2.798521,Mon Feb 18 12:22:08.466 2019,0.005279992
41,2.865343,Mon Feb 18 12:22:08.533 2019,0.006952461
42,2.934158,Mon Feb 18 12:22:08.602 2019,0.004679047
43,2.998986,Mon Feb 18 12:22:08.667 2019,0.003499139
44,3.085752,Mon Feb 18 12:22:08.753 2019,0.002641404
45,3.170526,Mon Feb 18 12:22:08.838 2019,0.002763641
46,3.257294,Mon Feb 18 12:22:08.925 2019,0.003085703
47,3.338078,Mon Feb 18 12:22:09.006 2019,0.002754765
48,3.417866,Mon Feb 18 12:22:09.085 2019,0.002588258
49,3.506628,Mon Feb 18 12:22:09.174 2019,0.002924754
50,3.58841,Mon Feb 18 12:22:09.256 2019,0.002059982
51,3.669194,Mon Feb 18 12:22:09.337 2019,0.002150862
52,3.738009,Mon Feb 18 12:22:09.406 2019,0.002660721
53,3.822784,Mon Feb 18 12:22:09.490 2019,0.002701087
54,3.894591,Mon Feb 18 12:22:09.562 2019,0.002853018
55,3.970389,Mon Feb 18 12:22:09.638 2019,0.002177818
56,4.037211,Mon Feb 18 12:22:09.705 2019,0.003544381
57,4.109018,Mon Feb 18 12:22:09.777 2019,0.003710691
58,4.179829,Mon Feb 18 12:22:09.847 2019,0.003264845
59,4.267595,Mon Feb 18 12:22:09.935 2019,0.002836393
60,4.338409,Mon Feb 18 12:22:10.006 2019,0.004117494
61,4.409217,Mon Feb 18 12:22:10.077 2019,0.003785348
62,4.485014,Mon Feb 18 12:22:10.153 2019,0.003399992
63,4.556822,Mon Feb 18 12:22:10.224 2019,0.003091729
64,4.62863,Mon Feb 18 12:22:10.296 2019,0.003403996
65,4.702433,Mon Feb 18 12:22:10.370 2019,0.003796443
66,4.775238,Mon Feb 18 12:22:10.443 2019,0.003393371
67,4.847046,Mon Feb 18 12:22:10.515 2019,0.00355034
68,4.921848,Mon Feb 18 12:22:10.589 2019,0.003341137
69,4.99465,Mon Feb 18 12:22:10.662 2019,0.004015981
70,5.072444,Mon Feb 18 12:22:10.740 2019,0.002856434
71,5.142259,Mon Feb 18 12:22:10.810 2019,0.002834555
72,5.232018,Mon Feb 18 12:22:10.900 2019,0.002492515
