Session,StartTime,startTimestamp,EndTime,EndTimestamp,Ontologies
Activities 1,,Thu Feb 26 13:20:50.309 2019,,Thu Feb 26 13:21:10.071 2019,Computer Reading (CR)
Activities 2,,Thu Feb 26 13:21:11.309 2019,,Thu Feb 26 13:23:44.071 2019,Break Out - Other
Activities 3,,Thu Feb 26 13:23:45.071 2019,,Thu Feb 26 13:33:25.071 2019,"Computer Reading (CR), Eat in Place (EiP)"
Activities 4,,Thu Feb 26 13:33:26.071 2019,,Thu Feb 26 13:37:35.071 2019,"Eat in Place (EiP), Smart Phone (SP)"
Activities 5,,Thu Feb 26 13:37:36.071 2019,,Thu Feb 26 14:00:30.071 2019,Computer Reading (CR)
Activities 6,,Thu Feb 26 14:00:31.071 2019,,Thu Feb 26 14:03:10.071 2019,Thinking (T)
Activities 7,,Thu Feb 26 14:03:11.071 2019,,Thu Feb 26 14:05:10.071 2019,Computer Reading (CR)
Activities 8,,Thu Feb 26 14:05:11.071 2019,,Thu Feb 26 14:07:00.071 2019,Thinking (T)
Activities 9,,Thu Feb 26 14:07:01.071 2019,,Thu Feb 26 14:22:10.071 2019,Computer Reading (CR)
Activities 10,,Thu Feb 26 14:22:11.071 2019,,Thu Feb 26 14:33:00.071 2019,Out
Activities 11,,Thu Feb 26 14:33:01.071 2019,,Thu Feb 26 15:55:35.071 2019,Physical Interaction (PI)
Activities 12,,Thu Feb 26 15:55:36.071 2019,,Thu Feb 26 16:15:40.071 2019,Computer Reading (CR)
Activities 13,,Thu Feb 26 16:15:41.071 2019,,Thu Feb 26 16:20:05.071 2019,Out
Activities 14,,Thu Feb 26 16:20:06.071 2019,,Thu Feb 26 16:24:20.071 2019,Thinking (T)
Activities 15,,Thu Feb 26 16:24:21.071 2019,,Thu Feb 26 16:44:10.071 2019,Computer Writing (CW)
