[2019-05-20 11:22:16] Terminal
[2019-05-20 11:22:17] Terminal
[2019-05-20 11:22:18] Terminal
[2019-05-20 11:22:19] Finder
[2019-05-20 11:22:20] Finder
[2019-05-20 11:22:21] Finder
[2019-05-20 11:22:23] Finder
[2019-05-20 11:22:24] Finder
[2019-05-20 11:22:25] Finder
[2019-05-20 11:22:26] Finder
[2019-05-20 11:22:27] Finder
[2019-05-20 11:22:28] Finder
[2019-05-20 11:22:29] Safari
[2019-05-20 11:22:30] Safari
[2019-05-20 11:22:31] Safari
[2019-05-20 11:22:33] Safari
[2019-05-20 11:22:34] Safari
[2019-05-20 11:22:35] Safari
[2019-05-20 11:22:36] Safari
[2019-05-20 11:22:37] Safari
[2019-05-20 11:22:38] Finder
[2019-05-20 11:22:39] Finder
[2019-05-20 11:22:40] Console
[2019-05-20 11:22:41] Console
[2019-05-20 11:22:43] Console
[2019-05-20 11:22:44] Console
[2019-05-20 11:22:45] Console
[2019-05-20 11:22:46] Console
[2019-05-20 11:22:47] Console
[2019-05-20 11:22:48] Console
[2019-05-20 11:22:49] Console
[2019-05-20 11:22:50] Console
[2019-05-20 11:22:52] Microsoft PowerPoint
[2019-05-20 11:22:53] Microsoft PowerPoint
[2019-05-20 11:22:54] Microsoft PowerPoint
[2019-05-20 11:22:55] Microsoft PowerPoint
[2019-05-20 11:22:56] Microsoft PowerPoint
[2019-05-20 11:22:57] Microsoft PowerPoint
[2019-05-20 11:22:58] Microsoft PowerPoint
[2019-05-20 11:22:59] Microsoft PowerPoint
[2019-05-20 11:23:00] Microsoft PowerPoint
[2019-05-20 11:23:01] Microsoft PowerPoint
[2019-05-20 11:23:03] Microsoft PowerPoint
[2019-05-20 11:23:04] Microsoft PowerPoint
[2019-05-20 11:23:05] Microsoft PowerPoint
[2019-05-20 11:23:06] Microsoft PowerPoint
[2019-05-20 11:23:07] Microsoft PowerPoint
[2019-05-20 11:23:08] Microsoft PowerPoint
[2019-05-20 11:23:09] Microsoft PowerPoint
[2019-05-20 11:23:10] Microsoft PowerPoint
[2019-05-20 11:23:11] Microsoft PowerPoint
[2019-05-20 11:23:12] Microsoft PowerPoint
[2019-05-20 11:23:14] Microsoft PowerPoint
[2019-05-20 11:23:15] Microsoft PowerPoint
[2019-05-20 11:23:16] Microsoft PowerPoint
[2019-05-20 11:23:17] Microsoft PowerPoint
[2019-05-20 11:23:18] Microsoft PowerPoint
[2019-05-20 11:23:19] Microsoft PowerPoint
[2019-05-20 11:23:20] Microsoft PowerPoint
[2019-05-20 11:23:21] Microsoft PowerPoint
[2019-05-20 11:23:22] Microsoft PowerPoint
[2019-05-20 11:23:23] Microsoft PowerPoint
[2019-05-20 11:23:25] Microsoft PowerPoint
