Timestamp,Activity,Details
Fri May 31 12:49:58.332 2019,Application,MonitorTool
Fri May 31 12:50:08.230 2019,MouseMove,
Fri May 31 12:50:08.234 2019,MouseMove,
Fri May 31 12:50:08.245 2019,MouseMove,
Fri May 31 12:50:08.248 2019,MouseMove,
Fri May 31 12:50:08.258 2019,MouseMove,
Fri May 31 12:50:08.386 2019,MouseMove,
Fri May 31 12:50:08.397 2019,MouseMove,
Fri May 31 12:50:08.400 2019,MouseMove,
Fri May 31 12:50:08.410 2019,MouseMove,
Fri May 31 12:50:08.416 2019,MouseMove,
Fri May 31 12:50:08.426 2019,MouseMove,
Fri May 31 12:50:08.435 2019,MouseMove,
Fri May 31 12:50:08.440 2019,MouseMove,
Fri May 31 12:50:08.451 2019,MouseMove,
Fri May 31 12:50:08.456 2019,MouseMove,
Fri May 31 12:50:08.467 2019,MouseMove,
Fri May 31 12:50:08.477 2019,MouseMove,
Fri May 31 12:50:08.481 2019,MouseMove,
Fri May 31 12:50:08.491 2019,MouseMove,
Fri May 31 12:50:08.497 2019,MouseMove,
Fri May 31 12:50:08.506 2019,MouseMove,
Fri May 31 12:50:08.513 2019,MouseMove,
Fri May 31 12:50:08.522 2019,MouseMove,
Fri May 31 12:50:08.533 2019,MouseMove,
Fri May 31 12:50:08.536 2019,MouseMove,
Fri May 31 12:50:08.547 2019,MouseMove,
Fri May 31 12:50:08.563 2019,MouseMove,
Fri May 31 12:50:08.702 2019,MouseMove,
Fri May 31 12:50:08.708 2019,MouseMove,
Fri May 31 12:50:08.718 2019,MouseMove,
Fri May 31 12:50:08.728 2019,MouseMove,
Fri May 31 12:50:08.745 2019,MouseMove,
Fri May 31 12:50:08.749 2019,MouseMove,
Fri May 31 12:50:08.758 2019,MouseMove,
Fri May 31 12:50:08.775 2019,MouseMove,
Fri May 31 12:50:08.784 2019,MouseMove,
Fri May 31 12:50:08.788 2019,MouseMove,
Fri May 31 12:50:08.945 2019,MouseMove,
Fri May 31 12:50:08.954 2019,MouseMove,
Fri May 31 12:50:08.990 2019,MouseMove,
Fri May 31 12:50:09.621 2019,MouseMove,
Fri May 31 12:50:09.778 2019,MouseClick,Left
Fri May 31 12:50:10.331 2019,Application,devenv
Fri May 31 12:50:10.464 2019,MouseMove,
Fri May 31 12:50:10.474 2019,MouseMove,
Fri May 31 12:50:10.478 2019,MouseMove,
Fri May 31 12:50:10.488 2019,MouseMove,
Fri May 31 12:50:10.495 2019,MouseMove,
Fri May 31 12:50:10.504 2019,MouseMove,
Fri May 31 12:50:10.509 2019,MouseMove,
Fri May 31 12:50:10.518 2019,MouseMove,
Fri May 31 12:50:10.529 2019,MouseMove,
Fri May 31 12:50:10.534 2019,MouseMove,
Fri May 31 12:50:10.544 2019,MouseMove,
Fri May 31 12:50:10.549 2019,MouseMove,
Fri May 31 12:50:10.559 2019,MouseMove,
Fri May 31 12:50:10.569 2019,MouseMove,
Fri May 31 12:50:10.574 2019,MouseMove,
Fri May 31 12:50:10.585 2019,MouseMove,
Fri May 31 12:50:10.591 2019,MouseMove,
Fri May 31 12:50:10.601 2019,MouseMove,
Fri May 31 12:50:10.604 2019,MouseMove,
Fri May 31 12:50:10.615 2019,MouseMove,
Fri May 31 12:50:10.625 2019,MouseMove,
Fri May 31 12:50:10.630 2019,MouseMove,
Fri May 31 12:50:10.640 2019,MouseMove,
Fri May 31 12:50:10.644 2019,MouseMove,
Fri May 31 12:50:10.655 2019,MouseMove,
Fri May 31 12:50:10.670 2019,MouseMove,
Fri May 31 12:50:10.681 2019,MouseMove,
Fri May 31 12:50:10.696 2019,MouseMove,
Fri May 31 12:50:10.706 2019,MouseMove,
Fri May 31 12:50:10.853 2019,MouseMove,
Fri May 31 12:50:10.862 2019,MouseMove,
Fri May 31 12:50:10.866 2019,MouseMove,
Fri May 31 12:50:10.876 2019,MouseMove,
Fri May 31 12:50:10.883 2019,MouseMove,
Fri May 31 12:50:10.892 2019,MouseMove,
Fri May 31 12:50:10.897 2019,MouseMove,
Fri May 31 12:50:10.907 2019,MouseMove,
Fri May 31 12:50:10.916 2019,MouseMove,
Fri May 31 12:50:10.922 2019,MouseMove,
Fri May 31 12:50:10.933 2019,MouseMove,
Fri May 31 12:50:10.938 2019,MouseMove,
Fri May 31 12:50:10.948 2019,MouseMove,
Fri May 31 12:50:10.959 2019,MouseMove,
Fri May 31 12:50:10.983 2019,MouseMove,
Fri May 31 12:50:10.993 2019,MouseMove,
Fri May 31 12:50:11.008 2019,MouseMove,
Fri May 31 12:50:11.038 2019,MouseMove,
Fri May 31 12:50:11.054 2019,MouseMove,
Fri May 31 12:50:11.064 2019,MouseMove,
Fri May 31 12:50:11.068 2019,MouseMove,
Fri May 31 12:50:11.079 2019,MouseMove,
Fri May 31 12:50:11.088 2019,MouseMove,
Fri May 31 12:50:11.094 2019,MouseMove,
Fri May 31 12:50:11.104 2019,MouseMove,
Fri May 31 12:50:11.109 2019,MouseMove,
Fri May 31 12:50:11.119 2019,MouseMove,
Fri May 31 12:50:11.129 2019,MouseMove,
Fri May 31 12:50:11.134 2019,MouseMove,
Fri May 31 12:50:11.144 2019,MouseMove,
Fri May 31 12:50:11.148 2019,MouseMove,
Fri May 31 12:50:11.158 2019,MouseMove,
Fri May 31 12:50:11.164 2019,MouseMove,
Fri May 31 12:50:11.175 2019,MouseMove,
Fri May 31 12:50:11.185 2019,MouseMove,
Fri May 31 12:50:11.190 2019,MouseMove,
Fri May 31 12:50:11.200 2019,MouseMove,
Fri May 31 12:50:11.205 2019,MouseMove,
Fri May 31 12:50:11.230 2019,MouseMove,
Fri May 31 12:50:11.241 2019,MouseMove,
Fri May 31 12:50:11.250 2019,MouseMove,
Fri May 31 12:50:11.254 2019,MouseMove,
Fri May 31 12:50:11.265 2019,MouseMove,
Fri May 31 12:50:11.270 2019,MouseMove,
Fri May 31 12:50:11.770 2019,MouseClick,Left
Fri May 31 12:50:11.960 2019,MouseMove,
Fri May 31 12:50:11.972 2019,MouseMove,
Fri May 31 12:50:12.172 2019,MouseMove,
Fri May 31 12:50:12.179 2019,MouseMove,
Fri May 31 12:50:12.199 2019,MouseMove,
Fri May 31 12:50:12.204 2019,MouseMove,
Fri May 31 12:50:12.215 2019,MouseMove,
Fri May 31 12:50:12.238 2019,MouseMove,
Fri May 31 12:50:12.248 2019,MouseMove,
Fri May 31 12:50:12.259 2019,MouseMove,
Fri May 31 12:50:12.264 2019,MouseMove,
Fri May 31 12:50:12.274 2019,MouseMove,
Fri May 31 12:50:12.278 2019,MouseMove,
Fri May 31 12:50:12.288 2019,MouseMove,
Fri May 31 12:50:12.299 2019,MouseMove,
Fri May 31 12:50:12.304 2019,MouseMove,
Fri May 31 12:50:12.315 2019,MouseMove,
Fri May 31 12:50:12.321 2019,MouseMove,
Fri May 31 12:50:12.326 2019,Application,explorer
Fri May 31 12:50:12.331 2019,MouseMove,
Fri May 31 12:50:12.335 2019,MouseMove,
Fri May 31 12:50:12.344 2019,MouseMove,
Fri May 31 12:50:12.354 2019,MouseMove,
Fri May 31 12:50:12.360 2019,MouseMove,
Fri May 31 12:50:12.371 2019,MouseMove,
Fri May 31 12:50:12.374 2019,MouseMove,
Fri May 31 12:50:12.385 2019,MouseMove,
Fri May 31 12:50:12.395 2019,MouseMove,
Fri May 31 12:50:12.401 2019,MouseMove,
Fri May 31 12:50:12.411 2019,MouseMove,
Fri May 31 12:50:12.414 2019,MouseMove,
Fri May 31 12:50:12.424 2019,MouseMove,
Fri May 31 12:50:12.437 2019,MouseMove,
Fri May 31 12:50:12.440 2019,MouseMove,
Fri May 31 12:50:12.451 2019,MouseMove,
Fri May 31 12:50:12.456 2019,MouseMove,
Fri May 31 12:50:12.467 2019,MouseMove,
Fri May 31 12:50:12.470 2019,MouseMove,
Fri May 31 12:50:12.480 2019,MouseMove,
Fri May 31 12:50:12.490 2019,MouseMove,
Fri May 31 12:50:12.497 2019,MouseMove,
Fri May 31 12:50:12.506 2019,MouseMove,
Fri May 31 12:50:12.511 2019,MouseMove,
Fri May 31 12:50:12.521 2019,MouseMove,
Fri May 31 12:50:12.527 2019,MouseMove,
Fri May 31 12:50:12.536 2019,MouseMove,
