Frame#,Time,Timestamp,ROI,Breathing
0,0,Fri Jun 14 09:32:04.240 2019,35.08174,-1
4,0.1775254,Fri Jun 14 09:32:04.440 2019,35.08174,-1
5,0.2283891,Fri Jun 14 09:32:04.491 2019,35.08552,-1
6,0.2962076,Fri Jun 14 09:32:04.559 2019,35.08552,-1
7,0.3221387,Fri Jun 14 09:32:04.585 2019,35.09738,-1
8,0.3720058,Fri Jun 14 09:32:04.635 2019,35.09933,-1
9,0.4328445,Fri Jun 14 09:32:04.696 2019,35.10804,-1
10,0.5036533,Fri Jun 14 09:32:04.767 2019,35.10936,-1
11,0.5794508,Fri Jun 14 09:32:04.842 2019,35.11185,-1
12,0.696139,Fri Jun 14 09:32:04.959 2019,35.1302,-1
13,0.8068426,Fri Jun 14 09:32:05.070 2019,35.12977,-1
14,0.8696749,Fri Jun 14 09:32:05.133 2019,35.12191,-1
15,1.050192,Fri Jun 14 09:32:05.313 2019,35.11428,-1
16,1.163888,Fri Jun 14 09:32:05.427 2019,35.09591,-1
17,1.25265,Fri Jun 14 09:32:05.516 2019,35.0952,-1
18,1.35737,Fri Jun 14 09:32:05.620 2019,35.11306,-1
19,1.463088,Fri Jun 14 09:32:05.726 2019,35.10855,-1
20,1.541878,Fri Jun 14 09:32:05.805 2019,35.10505,-1
21,1.631637,Fri Jun 14 09:32:05.895 2019,35.1102,-1
22,1.707435,Fri Jun 14 09:32:05.970 2019,35.12085,-1
24,1.845068,Fri Jun 14 09:32:06.108 2019,35.13138,-1
25,1.92186,Fri Jun 14 09:32:06.185 2019,35.12577,-1
26,1.994666,Fri Jun 14 09:32:06.258 2019,35.11972,-1
27,2.06149,Fri Jun 14 09:32:06.324 2019,35.1157,-1
28,2.121328,Fri Jun 14 09:32:06.384 2019,35.10847,-1
29,2.192138,Fri Jun 14 09:32:06.455 2019,35.10024,-1
30,2.25896,Fri Jun 14 09:32:06.522 2019,35.07016,-1
31,2.332763,Fri Jun 14 09:32:06.596 2019,35.04578,-1
32,2.407563,Fri Jun 14 09:32:06.670 2019,35.05991,-1
33,2.475382,Fri Jun 14 09:32:06.738 2019,35.05412,-1
34,2.537215,Fri Jun 14 09:32:06.800 2019,35.05771,-1
35,2.606032,Fri Jun 14 09:32:06.869 2019,35.05003,-1
36,2.683824,Fri Jun 14 09:32:06.947 2019,35.05251,-1
37,2.758623,Fri Jun 14 09:32:07.022 2019,35.0477,-1
38,2.815471,Fri Jun 14 09:32:07.078 2019,35.03955,-1
39,2.896255,Fri Jun 14 09:32:07.159 2019,35.04264,-1
40,2.972053,Fri Jun 14 09:32:07.235 2019,35.05319,-1
