[2019-07-25 13:37:34] Terminal
[2019-07-25 13:37:36] Terminal
[2019-07-25 13:37:37] Terminal
[2019-07-25 13:37:38] Finder
[2019-07-25 13:37:39] Finder
[2019-07-25 13:37:40] Finder
[2019-07-25 13:37:41] Google Chrome
[2019-07-25 13:37:42] Google Chrome
[2019-07-25 13:37:43] Google Chrome
[2019-07-25 13:37:44] Google Chrome
[2019-07-25 13:37:45] Google Chrome
[2019-07-25 13:37:46] Google Chrome
[2019-07-25 13:37:47] Google Chrome
[2019-07-25 13:37:49] Google Chrome
[2019-07-25 13:37:50] Google Chrome
[2019-07-25 13:37:51] Google Chrome
[2019-07-25 13:37:52] Google Chrome
[2019-07-25 13:37:53] Google Chrome
[2019-07-25 13:37:54] Google Chrome
[2019-07-25 13:37:55] Google Chrome
[2019-07-25 13:37:56] Google Chrome
[2019-07-25 13:37:57] Google Chrome
[2019-07-25 13:37:58] Google Chrome
[2019-07-25 13:37:59] Google Chrome
[2019-07-25 13:38:01] Google Chrome
[2019-07-25 13:38:02] Google Chrome
[2019-07-25 13:38:03] Google Chrome
[2019-07-25 13:38:04] Google Chrome
[2019-07-25 13:38:05] Google Chrome
[2019-07-25 13:38:06] Google Chrome
[2019-07-25 13:38:07] Google Chrome
[2019-07-25 13:38:08] Google Chrome
[2019-07-25 13:38:09] Google Chrome
[2019-07-25 13:38:10] Google Chrome
[2019-07-25 13:38:11] Google Chrome
[2019-07-25 13:38:12] Google Chrome
[2019-07-25 13:38:14] Google Chrome
[2019-07-25 13:38:15] Google Chrome
[2019-07-25 13:38:16] Google Chrome
[2019-07-25 13:38:17] Google Chrome
[2019-07-25 13:38:18] Google Chrome
[2019-07-25 13:38:19] Google Chrome
[2019-07-25 13:38:20] Google Chrome
[2019-07-25 13:38:21] Google Chrome
[2019-07-25 13:38:22] Google Chrome
[2019-07-25 13:38:23] Google Chrome
[2019-07-25 13:38:24] Google Chrome
[2019-07-25 13:38:26] Google Chrome
