Time,HeartRate
2019-10-11 13:58:48,78
2019-10-11 14:00:53,72
2019-10-11 14:00:58,71
2019-10-11 14:00:59,71
2019-10-11 14:01:08,77
2019-10-11 14:01:13,77
2019-10-11 14:01:14,76
2019-10-11 14:01:22,71
2019-10-11 14:01:28,69
2019-10-11 14:01:31,68
2019-10-11 14:01:38,67
2019-10-11 14:01:43,67
2019-10-11 14:01:45,68
2019-10-11 14:01:53,68
2019-10-11 14:01:55,69
2019-10-11 14:02:01,68
2019-10-11 14:02:04,68
2019-10-11 14:02:13,67
2019-10-11 14:02:17,66
2019-10-11 14:02:23,65
2019-10-11 14:02:24,64
2019-10-11 14:02:33,64
2019-10-11 14:02:34,65
2019-10-11 14:02:43,65
2019-10-11 14:02:44,65
2019-10-11 14:02:53,66
2019-10-11 14:02:57,67
2019-10-11 14:02:59,67
2019-10-11 14:03:04,66
2019-10-11 14:03:13,64
2019-10-11 14:03:18,64
2019-10-11 14:03:21,64
2019-10-11 14:03:27,64
2019-10-11 14:03:33,64
2019-10-11 14:03:34,64
2019-10-11 14:03:39,63
2019-10-11 14:03:46,64
2019-10-11 14:03:53,64
2019-10-11 14:03:55,64
2019-10-11 14:03:59,64
2019-10-11 14:04:07,64
2019-10-11 14:04:09,65
2019-10-11 14:04:14,65
2019-10-11 14:04:23,63
2019-10-11 14:04:26,63
2019-10-11 14:04:29,64
2019-10-11 14:04:38,65
2019-10-11 14:04:41,65
2019-10-11 14:04:44,66
2019-10-11 14:04:52,65
2019-10-11 14:04:58,66
2019-10-11 14:04:59,66
2019-10-11 14:05:08,67
2019-10-11 14:05:11,67
2019-10-11 14:05:18,65
2019-10-11 14:05:23,63
2019-10-11 14:05:28,63
2019-10-11 14:05:29,63
2019-10-11 14:05:45,67
2019-10-11 14:05:53,64
2019-10-11 14:05:58,63
2019-10-11 14:06:03,63
2019-10-11 14:06:05,64
2019-10-11 14:06:10,64
2019-10-11 14:06:14,64
2019-10-11 14:06:22,62
2019-10-11 14:06:27,62
2019-10-11 14:06:33,61
2019-10-11 14:06:34,61
2019-10-11 14:06:41,60
2019-10-11 14:06:45,61
2019-10-11 14:06:53,63
2019-10-11 14:06:58,62
2019-10-11 14:07:01,61
2019-10-11 14:07:05,61
2019-10-11 14:07:11,62
2019-10-11 14:07:16,61
2019-10-11 14:07:21,61
2019-10-11 14:07:25,61
2019-10-11 14:07:33,60
2019-10-11 14:07:38,60
2019-10-11 14:07:41,60
2019-10-11 14:07:44,60
2019-10-11 14:07:49,62
2019-10-11 14:07:54,69
2019-10-11 14:08:03,72
2019-10-11 14:08:06,71
2019-10-11 14:08:13,69
2019-10-11 14:08:17,68
2019-10-11 14:08:22,67
2019-10-11 14:08:28,66
2019-10-11 14:08:32,65
2019-10-11 14:08:38,64
2019-10-11 14:08:39,64
2019-10-11 14:08:44,65
2019-10-11 14:08:49,64
2019-10-11 14:08:57,66
2019-10-11 14:08:59,66
2019-10-11 14:09:08,65
2019-10-11 14:09:11,65
2019-10-11 14:09:17,64
2019-10-11 14:09:19,64
2019-10-11 14:09:27,64
2019-10-11 14:09:29,65
2019-10-11 14:09:37,65
2019-10-11 14:09:39,65
2019-10-11 14:09:44,65
2019-10-11 14:09:49,67
2019-10-11 14:09:58,66
2019-10-11 14:10:03,64
2019-10-11 14:10:07,64
2019-10-11 14:10:09,64
2019-10-11 14:10:18,67
2019-10-11 14:10:19,67
2019-10-11 14:10:27,64
2019-10-11 14:10:33,65
2019-10-11 14:10:36,65
