record_id,redcap_survey_identifier,start_day_survey_deadline_exp_timestamp,id,day,i_feel_calm,i_feel_secure,i_am_tense,i_feel_strained,i_feel_at_ease,i_feel_upset,i_am_presently_worrying_ov,i_feel_satisfied,i_feel_frightened,i_feel_comfortable,i_feel_self_confident,i_feel_nervous,i_am_jittery,i_feel_indecisive,i_am_relaxed,i_feel_content,i_am_worried,i_feel_confused,i_feel_steady,i_feel_pleasant,what_task_left_for_the_dea,what_tasks_are_you_plannin,start_day_survey_deadline_exp_complete
9,,5/14/2019 9:33,T003,Day-1,2,3,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,1,2,,,2
10,,5/15/2019 11:34,T003,day-2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,,,2
15,,5/20/2019 11:14,T003,Day-3,4,3,1,2,4,1,1,4,1,4,4,1,3,1,4,3,1,1,4,4,,,2
17,,5/25/2019 10:10,T005,Day-2,3,4,1,2,3,1,1,2,1,4,4,1,1,1,4,4,1,1,4,4,"Needs to finish the draft for submission.  Work on the remaining text, figures and tables and references.",Organize draft write ups of various sections. Read and go through various references and cite them at appropriate places. Work on the tables and figures.,2
18,,5/26/2019 13:03,T005,Day-1,3,3,3,3,3,1,1,3,1,3,4,2,1,1,3,3,1,1,2,3,Organizing the tables and figures  Organizing the various parts of the paper  Writing the remaining part  Review the writing  Reading for references,Organizing the tables and figures  Organizing the various parts of the paper  Writing the remaining part  Review the writing  Reading for references,2
19,,5/29/2019 10:49,T005,Day+2,4,4,1,1,4,1,1,4,1,4,4,1,1,1,4,4,1,1,4,4,NA,data analysis  paper review (if possible),2
20,,5/30/2019 13:59,T005,Day+3,3,4,1,2,4,1,1,4,1,4,4,1,1,1,4,4,1,1,4,4,NA,#NAME?,2
21,,5/31/2019 13:05,T005,Day+3,4,4,1,2,4,1,1,4,1,4,4,1,1,1,4,4,1,1,4,4,NA,reading an article  reviewing an article  data analysis,2
23,,6/5/2019 11:06,T007,Day-1,2,3,3,2,1,1,2,1,1,2,2,3,1,1,1,2,2,1,2,1,"Rewrite Method and Discussion section of the manuscript, revisit introduction and data analysis, answer minor reviewer's comments, write response to reviewer's comments","Revisit introduction and data analysis, draft response to to reviewer's comments and start working on discussion",2
24,,6/6/2019 12:36,T007,Day-0,2,3,3,1,2,1,1,2,1,2,3,2,2,1,2,2,3,1,2,2,I need to run additional analysis and add it to the results section. I need to add some information in the discussion section. I need to send the revised manuscript to my advisor and I need to finish the letter to the editor,"Finish result section and discussion section do proof reading, send the revised manuscript to my advisor",2
26,,6/13/2019 12:36,T007,Day+7,3,3,1,1,3,1,1,2,1,4,3,1,1,1,2,2,1,1,4,2,,"I am planning to have 2 skype meetings with my advisor and the colleagues, I will respond to emails, and work on a grad student funding application",2
28,,6/14/2019 9:23,T007,Day+8,3,4,1,1,2,1,1,2,1,3,3,1,1,1,2,2,1,1,4,3,,"I am planning to score neuropsychological assessments, respond to emails, complete graduate funding application and homework for my classes",2
32,,7/24/2019 10:17,T009,Day-1,2,2,3,3,1,2,3,2,1,2,2,4,2,3,1,2,3,1,1,1,I need to finish the paper and modify the pictures and words. Two more experiments need to be done.,Finish the writing of the paper.,2
33,,7/25/2019 13:40,T009,Day-0,1,1,4,4,1,1,2,3,1,1,2,4,1,1,1,2,2,1,1,1,Modify the paper and put the final results in the paper. Do the submission.,"Modify the paper, put the final results in the paper, submit the paper. ",2
34,,8/5/2019 11:59,T009,Day+11,3,2,1,1,2,1,2,3,1,2,3,1,1,1,2,3,1,1,2,2,,Read some papers and continue the previous research,2
35,,8/6/2019 12:27,T009,Day+22,3,3,1,1,3,1,1,2,1,3,2,1,1,1,3,2,1,1,2,1,,Read some papers and practice writing.,2
